127.0.0.1 - - [22/Aug/2022:20:59:41 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:48 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:48 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:48 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:48 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:48 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:48 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:49 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:49 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:52 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4460
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:54 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:54 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:54 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [22/Aug/2022:20:59:54 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "DELETE /ProjetoTrilhaWeb/rest/produto/excluir/2 HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:02 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Aug/2022:21:00:03 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
