127.0.0.1 - - [21/Jun/2022:19:01:57 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:20 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:22 -0300] "GET /ProjetoTrilhaWeb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:23 -0300] "GET /ProjetoTrilhaWeb/pages/site/produtos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:24 -0300] "GET /ProjetoTrilhaWeb/pages/site/faleconosco.html HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:09:36 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:46:57 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:46:57 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:46:57 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:46:57 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:46:57 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:46:57 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:51:33 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:51:33 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:51:33 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:51:33 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:51:33 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [21/Jun/2022:19:51:33 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
