127.0.0.1 - - [01/Jun/2022:19:09:42 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:16:10 -0300] "GET /exemploServlet/contato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:16:10 -0300] "GET /exemploServlet/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:16:10 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:16:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:16:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:16:21 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:46:58 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:46:58 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:46:58 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:46:59 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:47:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:47:16 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:47:16 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:47:16 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:14 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:14 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:15 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:22 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:23 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [01/Jun/2022:19:49:41 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 22
