127.0.0.1 - - [06/Jun/2022:20:20:07 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:21 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:21 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:21 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:21 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:20:53 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:34:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:34:47 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:34:47 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:34:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:34:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Jun/2022:20:34:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1037
