0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:43 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:43 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:43 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:43 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:44 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:44 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:44 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:44 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:47 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:48 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:10:48 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:06 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:09 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:10 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:11:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:25 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:25 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:25 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:25 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:25 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:26 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:26 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:26 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:26 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:28 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:29 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:12:29 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:01 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:04 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:05 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:09 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:11 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:12 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:12 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:47 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:49 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:50 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:13:50 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:03 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
